place_id,name,address,phone,website,faith_tradition,primary_type,latitude,longitude,rating,review_count,business_status,city,state,zip_code,vertical,created_at,validation_status,validation_reason,validated_at
ChIJS5LyD0K79YgRduOs3Ze6YPM,"UU Congregation of Gwinnett","12 Bethesda Church Rd, Lawrenceville, GA 30044, USA","(770) 717-7913",http://www.uucg.org/,"Place of Worship",place_of_worship,33.9061723,-84.0818486,4.6,38,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJEUsoyHy79YgRa9KuZSNn08k,"St. Marguerite d'Youville Catholic Church","85 Gloster Rd NW #100, Lawrenceville, GA 30044, USA","(770) 381-7337",https://stmdy.org/,Church,church,33.9172055,-84.0710063,4.7,91,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJJwO3c3O99YgRsAIbi7dBRLg,"Masjid Nasrullah","2399 Lawrenceville Hwy Suite 4, Lawrenceville, GA 30044, USA","(470) 253-9391",http://www.masjidnasrullah.org/,Mosque,mosque,33.9272782,-84.0617948,4.9,58,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJ5SKlG5S89YgRTAS2w_RZWkg,"Gracepointe Community Church","311 Oakland Rd, Lawrenceville, GA 30044, USA","(770) 995-5812",http://www.gracepte.com/,Church,church,33.9294412,-84.060789,4.6,86,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJ31gIXN--9YgRQChhNkfhMwo,"Georgia Islamic Institute","177 Simonton Rd SW, Lawrenceville, GA 30046, USA","(770) 339-1122",http://www.georgiaislamicinstitute.com/,Mosque,mosque,33.9338534,-83.9719223,4.7,376,OPERATIONAL,Lawrenceville,GA,30046,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJTf8V3a289YgRTK7e5OPiWc0,"Darus Salam Masjid LLC","3122 Cruse Rd NW, Lawrenceville, GA 30044, USA","(770) 921-6500",https://darussalammasjidatl.org/,Mosque,mosque,33.9326489,-84.0964721,4.9,98,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJMwnZFmO99YgR5Hi1wz-j170,"Emmanuel Church of south India Atlanta","3521 Sugarloaf Pkwy, Lawrenceville, GA 30044, USA","(470) 698-3389",http://www.ecsiatlanta.org/,"Association / Organization",association_or_organization,33.927224,-84.0176655,5.0,2,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJ43rRoUaj9YgR3sTGMrxWPpM,"Greenview Madani Center","3455 Greenview Dr NW, Lawrenceville, GA 30044, USA","(404) 993-3400",http://madanicenter.org/,Mosque,mosque,33.9406979,-84.1160386,4.9,166,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJV-hz1R699YgRlIoNp5jEHA4,"The Servant Korean Evangelical Church of Atlanta","1724 Atkinson Rd NW, Lawrenceville, GA 30043, USA","(770) 545-8777",http://www.skeca.org/,Church,church,33.971634,-84.0779741,4.8,70,OPERATIONAL,Lawrenceville,GA,30043,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJS3pdn6y89YgRXdldqSYB-8M,"Cherubim and Seraphim Church of Georgia, House of Testimonies","837 James Rd NW, Lawrenceville, GA 30044, USA","(678) 886-8301",https://www.candschurch.org/,Church,church,33.9289099,-84.0999337,5.0,12,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJKTXI37Ck9YgRIm1SpFTjgzU,"Ministerio Camino de Santidad","3849 US-29, Lawrenceville, GA 30044, USA","(404) 435-8171",,Church,church,33.9081637,-84.1093561,4.8,13,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJTenUCou-9YgRjjH1CSDFso4,"Nur Mosque","1073 Lawrenceville Hwy, Lawrenceville, GA 30045, USA","(470) 977-9600",http://www.icnur.org/,Mosque,mosque,33.9411059,-84.0157583,4.9,130,OPERATIONAL,Lawrenceville,GA,30045,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJ6xhYHZi79YgR8fxPa0DptMU,"Gwinnett Community Church","2516 Five Forks Trickum Rd SW, Lawrenceville, GA 30044, USA","(770) 979-1864",http://gwinnettcommunitychurch.com/,Church,church,33.8995899,-84.0489031,4.9,42,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJI2Qj0LCk9YgRJXP5BefoeU8,"Ministerio Shalom Inc","3865 Lawrenceville Hwy, Lawrenceville, GA 30044, USA","(678) 395-3081",,"Association / Organization",association_or_organization,33.9080015,-84.1104939,4.7,43,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
ChIJ0w2fz1a79YgRTBdd31Kde5k,"Amazing Grace Lutheran Church-ELCA","3305 Lawrenceville Hwy, Lawrenceville, GA 30044, USA","(770) 381-1293",http://tisgrace.org/,Church,church,33.9179515,-84.0941585,4.5,27,OPERATIONAL,Lawrenceville,GA,30044,places_of_worship,"2026-05-24 16:33:18",pending,,
