place_id,name,address,phone,website,faith_tradition,primary_type,latitude,longitude,rating,review_count,business_status,city,state,zip_code,vertical,created_at,AreaBuilding,AreaBuildingDefinitionCode,Area1stFloor,Area2ndFloor,AreaLotSF,AreaLotAcres,AreaGross,AreaGarage,BasementArea,AtticArea,AtticFlag,Depth,Frontage,ParkingSpaces,MelissaResults,LookupError,FetchedAt
ChIJDVQvm2rJ5YgRP6gA9Wl1Pgo,"Etz Chaim Synagogue","10167 San Jose Blvd, Jacksonville, FL 32257, USA","(904) 262-3565",http://www.etzchaim.org/,Synagogue,synagogue,30.1910997,-81.6232681,4.7,27,OPERATIONAL,Jacksonville,FL,32257,places_of_worship,"2026-05-24 16:55:47","","","","","","","","","","","","","","",YE02,"",2026-05-27T19:45:24
ChIJp_bkMZvJ5YgRG1GNXbsfka8,"Congregation Ahavath Chesed","8727 San Jose Blvd, Jacksonville, FL 32217, USA","(904) 733-7078",http://www.thetemplejacksonville.org/,Synagogue,synagogue,30.2214624,-81.6149459,4.4,53,OPERATIONAL,Jacksonville,FL,32217,places_of_worship,"2026-05-24 16:56:22",50248,13,35340,0,344747.00,7.9140,50248,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJB9o76fh-54gRwr3fy5WgZsk,"Chabad of South Orlando - Judaism for the Orlando Jewish Community","7347 W Sand Lake Rd, Orlando, FL 32819, USA","(800) 765-7905",http://www.jewishorlando.com/,Synagogue,synagogue,28.450471,-81.482578,4.6,93,OPERATIONAL,Orlando,FL,32819,places_of_worship,"2026-05-24 16:47:55",11648,13,5676,0,39379.00,0.9040,11648,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJA56FsA5f7IgRrlj40Vkdb8s,"Temple Israel","2215 Mahan Dr, Tallahassee, FL 32308, USA","(850) 877-3517",http://www.templeisraeltlh.org/,Synagogue,synagogue,30.4535214,-84.2428594,4.7,42,OPERATIONAL,Tallahassee,FL,32308,places_of_worship,"2026-05-24 17:09:37",38293,13,36719,0,262667.00,6.0300,38293,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJXW08OAp-8ogROw2nHrwhd0Q,"Temple B'nai Israel","3917 Gillionville Rd, Albany, GA 31721, USA","(229) 446-6536",https://tbialbanyga.org/,Synagogue,synagogue,31.5877585,-84.2528033,5.0,4,OPERATIONAL,Albany,GA,31721,places_of_worship,"2026-05-24 16:49:23",0,"",0,0,1129075.00,25.9200,0,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJsxQ51a6f9YgRN1P1FabfkSo,"Congregation Gesher L'Torah","4320 Kimball Bridge Rd, Alpharetta, GA 30022, USA","(770) 777-4009",http://wearegesher.org/,Synagogue,synagogue,34.054235,-84.2333123,4.8,38,OPERATIONAL,Alpharetta,GA,30022,places_of_worship,"2026-05-24 16:34:16",1160,13,1160,0,65340.00,1.5000,1160,"",1160,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJiW4kXXJt9ogRLjquuu4Bklg,"Congregation Children of Israel","115 Dudley Dr, Athens, GA 30606, USA","(706) 850-1212",http://www.ccisrael.org/,Synagogue,synagogue,33.9421962,-83.4026932,4.6,9,OPERATIONAL,Athens,GA,30606,places_of_worship,"2026-05-24 16:41:19",0,"",0,0,260489.00,5.9800,0,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJ4UrcwdIH9YgRofgjLWT3QH0,"Congregation Bet Haverim","2074 Lavista Rd, Atlanta, GA 30329, USA","(404) 315-6446",http://www.congregationbethaverim.org/,Synagogue,synagogue,33.8160028,-84.3174972,4.7,21,OPERATIONAL,Atlanta,GA,30329,places_of_worship,"2026-05-24 16:33:48",3284,10,3104,0,18731.00,0.4300,3284,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJ9ZghHUwG9YgR1lIY4Ayn5kA,"Congregation Ohr HaTorah","2056 Lavista Rd, Atlanta, GA 30329, USA","(404) 315-1417",http://www.ohrhatorahatl.org/,Synagogue,synagogue,33.8155056,-84.3190071,4.6,34,OPERATIONAL,Atlanta,GA,30329,places_of_worship,"2026-05-24 16:36:47",14180,13,0,0,146362.00,3.3600,14180,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJB7BLM2EG9YgRn8HLMlxSosg,"Congregation Shaarei Shamayim","1600 Mt Mariah Rd, Atlanta, GA 30329, USA","(404) 417-0472",http://www.shaareishamayim.com/,Synagogue,synagogue,33.828183,-84.3233467,4.9,16,OPERATIONAL,Atlanta,GA,30329,places_of_worship,"2026-05-24 16:33:48",7000,13,0,0,33541.00,0.7700,7000,"",0,0,"","","","","YS02,YS07,YC01","",2026-05-27T19:45:24
ChIJEfy7pIQG9YgRw_Gakl5qm2M,"Congregation Shearith Israel","1180 University Dr NE, Atlanta, GA 30306, USA","(404) 873-1743",https://www.shearithisrael.com/,Synagogue,synagogue,33.7911867,-84.3485098,4.6,29,OPERATIONAL,Atlanta,GA,30306,places_of_worship,"2026-05-24 16:33:48",0,"",0,0,19654.00,0.4510,0,"",0,0,"","","","","YS02,YS07,YS05,YC02","",2026-05-27T19:45:24
